"","taxa","otu","otus","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","anterior limb of parapophysis 4","anterior nuchal plate","arch of atlas","basipterygium bone","centrum 1","distal cartilage of external anterior process of basipterygium","distal cartilage of internal anterior process of basipterygium","distal cartilage of posterior process of basipterygium","entopterygoid vertical strut","epibranchial 2 bone uncinate process","epibranchial 4 bone uncinate process","epioccipital posterior process","external anterior process of basipterygium","hypobranchial 1 bone distal cartilage","hypobranchial 2 bone distal cartilage","hypurapophysis","intercalarium","internal anterior process of basipterygium","lateral ethmoid palatine process","lateral ethmoid wing","lateral process of basipterygium","mesethmoid cornu","middle anterior process of basipterygium","middle nuchal plate","neural lamina","optic foramen","parapophysis","parapophysis 1","parapophysis 2","parapophysis 4","parapophysis 5","parapophysis 6","pelvic girdle bone/zone","posterior cleithral process","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior limb of parapophysis 4","posterior nuchal plate","posterior process of basipterygium","posttemporal fossa","preopercle horizontal limb","quadrate dorsal process","quadrate ventral process","scaphium","sphenotic spine","superficial ophthalmic nerve foramen","supraoccipital crest","transverse process of atlas","type 1 odontode","urohyal lateral process","urohyal median process","uroneural","Weberian complex centrum","zygapophysis"
"32","Amaralia n. sp. (Friel 1994)","VTO_0059318","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,"0","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"0",NA,"1","1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1","1",NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"33","Amarginops hildae","VTO_0059273","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"34","Amarginops platus","VTO_0059272","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"35","Amblyceps laticeps","VTO_0061744","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,"1","0",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,"1","1",NA,NA,"1",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,"1",NA,"0",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"36","Amblyceps mangois","VTO_0035579","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,"1","1 and 0","1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1","1","1","1","1","0",NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1","1","1","0",NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"37","Amblyceps murraystuarti","VTO_0061747","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"38","Amblycipitidae","VTO_0035563","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"39","Amblydoras sp. (Friel 1994)","VTO_0060792","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"40","Ameiurus brunneus","VTO_0036273","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1","1","1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1","1","1",NA,NA,"1","1",NA,"1",NA
"41","Ameiurus catus","VTO_0036275","t6abf9436-7a24-4b98-8447-177c6f39540e","1","1","1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1","1",NA,"1",NA,"1","1","1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,"1","1","1",NA,NA,"1","1",NA,"1",NA
"42","Ameiurus melas","VTO_0036272","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,"1 and 0","1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1","1",NA,"1",NA,"1","1","1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,"1","1","1",NA,NA,"1","1",NA,"1",NA
