"","taxa","otu","otus","anterior dentation of pectoral fin spine","anterior distal serration of pectoral fin spine","anterior limb of parapophysis 4","anterior nuchal plate","arch of atlas","basipterygium bone","centrum 1","distal cartilage of external anterior process of basipterygium","distal cartilage of internal anterior process of basipterygium","distal cartilage of posterior process of basipterygium","entopterygoid vertical strut","epibranchial 2 bone uncinate process","epibranchial 4 bone uncinate process","epioccipital posterior process","external anterior process of basipterygium","hypobranchial 1 bone distal cartilage","hypobranchial 2 bone distal cartilage","hypurapophysis","intercalarium","internal anterior process of basipterygium","lateral ethmoid palatine process","lateral ethmoid wing","lateral process of basipterygium","mesethmoid cornu","middle anterior process of basipterygium","middle nuchal plate","neural lamina","optic foramen","parapophysis","parapophysis 1","parapophysis 2","parapophysis 4","parapophysis 5","parapophysis 6","pelvic girdle bone/zone","posterior cleithral process","posterior dentation of dorsal fin spine 2","posterior dentation of pectoral fin spine","posterior limb of parapophysis 4","posterior nuchal plate","posterior process of basipterygium","posttemporal fossa","preopercle horizontal limb","quadrate dorsal process","quadrate ventral process","scaphium","sphenotic spine","superficial ophthalmic nerve foramen","supraoccipital crest","transverse process of atlas","type 1 odontode","urohyal lateral process","urohyal median process","uroneural","Weberian complex centrum","zygapophysis"
"1060","Pterobunocephalus sp. (Friel 1994)","VTO_0059378","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"0","0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,"1","1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1","1",NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1061","Pterocryptis anomala","VTO_0036153","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,1,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1062","Pterocryptis bokorensis","VTO_0061995","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,1,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1063","Pterocryptis cochinchinensis","VTO_0036152","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,"1",NA,"1","1","1","1","1","1",NA,NA,"1","0","1","1","1","1","1","1","1","1",NA,"1",1,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1064","Pterocryptis gangelica","VTO_0061991","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,1,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1065","Pterocryptis taytayensis","VTO_0062004","t6abf9436-7a24-4b98-8447-177c6f39540e","0",NA,NA,NA,"1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1066","Pterodoras granulosus","VTO_0036713","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1067","Pterodoras rivasi","VTO_0060748","t6abf9436-7a24-4b98-8447-177c6f39540e","1 and 0",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1 and 0",NA,"1","1",NA,"1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1068","Pterodoras sp. (Kailola 2004)","VTO_0060747","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1069","Pterodoras sp. (Royero 1999)","VTO_0060750","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1","1",NA,NA,"1",NA,NA,NA,"1","1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1070","Pterygoplichthys etentaculatus","VTO_0036833","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1071","Pterygoplichthys gibbiceps","VTO_0036837","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"1",NA,"1 and 0",NA,NA,NA,"1",NA
"1072","Pterygoplichthys lituratus","VTO_0060415","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"1",NA,"1 and 0",NA,NA,NA,"1",NA
"1073","Pterygoplichthys multiradiatus","VTO_0036838","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0",NA,NA,"1 and 0","0","1","1","0 and 1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1",NA,NA,NA,"1 and 0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0","1","1",NA,"1",NA
"1074","Pterygoplichthys pardalis","VTO_0036834","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1075","Pterygoplichthys punctatus","VTO_0060416","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1076","Pterygoplichthys sp. (de Pinna 1993)","VTO_0060425","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0",NA,NA,"1 and 0","0","1","1","0 and 1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1 and 0","0","0","1 and 0","1 and 0","0","1",NA,NA,NA,"1 and 0",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"1077","Pterygoplichthys zuliaensis","VTO_0036839","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1078","Pygidianops eigenmanni","VTO_0061505","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"0",NA,"0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,"0",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1079","Pylodictis olivaris","VTO_0036282","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,"1","1","0",NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1","1",NA,"1",NA,"1","1","1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,"1","1","1",NA,NA,"1","1",NA,"1",NA
"1080","Reganella sp. (Britto 2003)","VTO_0060391","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1081","Rhamdella longiuscula","VTO_0060928","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1","1","0",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,"0 and 1","1",NA,"1",NA,NA,"1",NA,"1","1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"1082","Rhamdia guatemalensis","VTO_0036335","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"1083","Rhamdia laticauda","VTO_0036343","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","0 and 1","1","1",NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,"0 and 1","1",NA,"1","1",NA,"1",NA,"1","1",NA,"1",NA,NA,"1","1","1","1",NA
"1084","Rhamdia quelen","VTO_0036338","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","0 and 1","1","1","1","1",NA,"1",NA,"1",NA,"1","1 and 0","1","1",NA,NA,"1","1","1","1","1",NA,"0 and 1","1",NA,"1","1",NA,"1",NA,"1","1","1 and 0","1",NA,"0","1","1","1","1",NA
"1085","Rhamdia sp. (Kailola 2004)","VTO_0060908","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1086","Rhamdioglanis frenatus","VTO_0060961","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","0",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"1087","Rhamdiopsis microcephala","VTO_0035652","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","0",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"1088","Rhamdiopsis moreirai","VTO_0060922","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1 and 0","1","0 and 1",NA,"1",NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1","1","1",NA
"1089","Rhamdiopsis sp. n. A (Bockmann 1998)","VTO_0060923","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"1","1","0",NA,"1",NA,"1",NA,NA,NA,"1",NA,NA,"1","1","1",NA,NA,"1","1","1","1","1",NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1",NA,"1",NA,NA,NA,NA,"1",NA,NA
"1090","Rhinelepis aspera","VTO_0036844","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1091","Rhinodoras sp. (Vigliotta 2008)","VTO_0060756","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1","0",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092","Rineloricaria rupestris","VTO_0059823","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1093","Rineloricaria sp. (Britto 2003)","VTO_0059842","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1094","Rineloricaria teffeana","VTO_0059803","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"0","1","0",NA,NA,NA,"0",NA,NA,"1 and 0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,"1","1 and 0","0","1","0",NA,"1","1",NA,"1","0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"0",NA,"1 and 0","1","0",NA,"1",NA,NA,"1",NA
"1095","Rita chrysea","VTO_0062024","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,"1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1096","Rita gogra","VTO_0035197","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1097","Rita kuturnee","VTO_0062028","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,"1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1098","Rita rita","VTO_0035198","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1",NA,"1","1","1","1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1","1","1","1",NA,"1",NA,"1",NA,"1","1","1","1",NA,NA,"1","1","1","1","1",NA,"1","1",NA,"1",NA,NA,"1",NA,"1","1","1 and 0","1",NA,"0","1","1","1","1",NA
"1099","Rita sp. (Kailola 2004)","VTO_0062027","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100","Satan eurystomus","VTO_0061485","t6abf9436-7a24-4b98-8447-177c6f39540e","0","1 and 0",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA
"1101","Schilbe congensis","VTO_0061473","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1 and 0","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1102","Schilbe grenfelli","VTO_0061456","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"1103","Schilbe intermedius","VTO_0036198","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1",NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1","1 and 0","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1104","Schilbe laticeps","VTO_0061469","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1105","Schilbe mystus","VTO_0036200","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1","1","1","1","1",NA,NA,"1 and 0","1 and 0","1","1","1",NA,"1","1",NA,"1",NA,"1",NA,"1","1 and 0","1","1",NA,NA,"1","1",NA,"1","1",NA,NA,"1",NA,"1","1",NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1","1",NA,"1",NA
"1106","Schilbidae","VTO_0061453","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,"1","0",NA,"0","0","0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,"0",NA,0,NA,NA,NA,"1","0","0",NA,NA,NA,"0",NA,NA,NA,NA,NA,"0",NA,NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1","0 and 1"
"1107","Schizolecis guntheri","VTO_0037002","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"0",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"1 and 0","0","0","0","0","0","1",NA,NA,"1","0",NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1108","Schizolecis sp. (Britto 2003)","VTO_0060152","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1109","Sciades dowii","VTO_0035842","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1110","Sciades emphysetus","VTO_0059704","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1111","Sciades felis","VTO_0059705","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,"1",NA,"1",NA,"1","1",NA,"0",NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,"1",NA,NA,"1","1",NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1112","Sciades guatemalensis","VTO_0035843","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,"1","1","1",NA,NA,"1 and 0","1","1","1","1",NA,NA,"1",NA,"1",NA,"1",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"1113","Sciades herzbergii","VTO_0035834","t6abf9436-7a24-4b98-8447-177c6f39540e","1",NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1",NA,"1","1",NA,NA,"1","1",NA,"1","1","1",NA,NA,"1","1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1114","Sciades proops","VTO_0035837","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1115","Sciades troschelii","VTO_0035840","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,"1 and 0","1",NA,"0","1",NA,NA,"1",NA
"1116","Scleromystax barbatus","VTO_0035441","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1 and 0","0","0",NA,NA,"1 and 0","0","1","1","1",NA,NA,"1",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
"1117","Scleromystax prionotos","VTO_0035442","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"1118","Scobinancistrus pariolispos","VTO_0037356","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,"0",NA,NA,NA,"0 and 1",NA,"1 and 0",NA,NA,NA,"1",NA
"1119","Scoloplacidae","VTO_0035548","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1 and 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1 and 0",NA,"1","0","0","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1",NA,"1 and 0","1",NA,NA,NA,NA,NA,"1","0 and 1"
"1120","Scoloplax dicra","VTO_0059555","t6abf9436-7a24-4b98-8447-177c6f39540e",NA,NA,"1",NA,NA,"1",NA,"1 and 0","0","1",NA,NA,"1 and 0","0","0","0","0 and 1",NA,NA,"0",NA,"1",NA,"1 and 0",NA,NA,"1",NA,"1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA
